LTP,Open,High,Low
346,348,350,344
345,346,347,345
345,345,348,340
344,345,352,344
346,345,350,344
349,346,349,346
348,349,351,348
350,348,354,348
349,350,357,346
350,349,351,348
350,350,350,348
350,350,351,348
345,350,350,345
345,345,345,341
342,345,346,340
343,342,343,337
343,343,344,342
342,343,344,342
339,342,342,339
342,339,345,338
341,342,342,340
339,341,341,339
339,339,342,339
338,339,340,337
339,338,340,335
338,339,340,338
335,338,352,335
334,335,337,330
332,334,335,330
332,332,335,328
332,332,333,330
329,332,332,329
330,329,331,327
330,330,336,328
329,330,330,325
333,329,333,324
329,333,333,329
333,329,335,329
330,333,333,329
331,330,333,327
332,331,334,331
333,332,335,330
294,314.15,314.15,291
292,294,294,291
292,292,293,290
294,292,294,290
293,294,294,292
298,293,301,293
305,298,306,298
301,305,306,300
302,301,303,296
302,302,305,300
301,302,304,301
298,301,301,298
296,298,300,296
293,296,299,293
294,293,298,292
294,294,298,293
294,294,299,293
294,294,298,292
295,294,296,293
297,295,297,292
302,297,304,299
305,302,307,301
304,305,305,301
309,304,309,298
309,304,309,298
311,316,318,311
312,311,314,310
315,312,319,313
318,315,318,313
326,318,327,313
338,326,338,326
350,338,350,336
348,350,350,343
342,348,353,336
346,342,346,340
354,346,354,341
388,354,389,354
395,388,410,389
389,395,395,383
390,389,391,382
385,390,387,381
379,385,385,376
388,379,388,374
389,388,390,384
388,389,390,384
388,388,396,386
390,388,390,384
386,390,391,384
416,386,421,388
438,416,447,416
421,438,445,421
422,421,430,416
418,422,432,416
418,418,422,413
424,418,426,418
431,424,438,426
425,431,434,423
422,425,426,419
421,422,428,420
424,421,426,420
428,424,451,426
422,428,433,420
414,422,430,414
416,414,420,414
413,416,418,413
412,413,416,411
416,412,417,412
415,416,415,411
411,415,415,411
404,411,411,404
403,404,406,402
402,403,405,401
404,402,404,400
406,404,409,403
405,406,407,403
411,405,413,403
416,411,417,411
413,416,418,412
413,413,413,410
407,413,413,406
405,407,408,404
410,405,413,404
414,410,415,407
411,414,415,410
408,411,410,407
406,408,410,405
405,406,407,401
407,405,407,402
405,407,410,405
406,405,411,405
406,406,408,405
409,406,426,406
417,409,418,408
418,417,423,413
414,418,417,411
416,414,419,414
435,416,435,418
433,435,435,428
430,433,434,427
425,430,429,422
427,425,430,425
429,427,431,426
431,429,433,422
430,431,436,429
437,430,438,424
433,437,437,431
432,433,442,430
435,432,439,426
431,435,435,429
430,431,431,428
431,430,433,429
428,431,437,428
429,428,430,425
430,429,433,425
430,430,433,429
431,430,434,429
427,431,432,427
429,427,430,425
428,429,430,425
427,428,427,423
425,427,430,425
426,425,429,424
425,426,427,424
426,425,427,423
421,426,428,421
417,421,424,414
424,417,426,412
426,424,429,420
425,426,427,425
422,425,427,421
418,422,425,416
418,418,420,416
416,418,420,416
413,416,418,413
408,413,414,408
418,408,418,410
423,418,423,419
413,423,425,413
414,413,415,412
414,414,415,412
412,414,412,410
412,412,412,407
410,412,412,409
418,410,418,407
415,418,415,411
417,415,418,412
411,417,417,411
416,411,418,415
415,416,415,412
410,415,415,409
413,410,416,410
414,413,415,412
414,414,416,412
413,414,414,411
412,413,415,411
411,412,413,409
413,411,416,411
414,413,416,412
413,414,417,410
412,413,413,410
413,412,414,410
416,413,416,413
415,416,417,415
415,415,417,414
419,415,419,410
421,419,421,414
417,421,425,414
416,417,417,413
417,416,417,415
415,417,423,410
418,415,418,415
416,418,420,415
416,416,418,415
412,416,418,408
404,412,410,404
409,404,412,404
405,409,410,402
409,405,409,403
404,409,409,404
404,404,405,402
403,404,405,400
401,403,403,401
405,401,406,401
405,405,407,403
409,405,409,403
411,409,415,404
415,411,418,406
414,415,418,414
412,414,415,409
410,412,416,409
406,410,415,406
407,406,410,405
406,407,410,405
404,406,407,403
412,404,414,407
412,412,414,407
413,412,416,412
414,413,415,412
1020,1000,1040,1001
615,623.48,620,615
72,72,72,71
106,108,108,106
107,106,107,106
105,107,107,105
106,105,107,103
104,106,106,104
106,104,106,99
105,106,106,105
105,105,105,105
108,105,108,105
106,108,108,104
105,106,106,105
105,105,107,105
104,105,105,104
103,104,104,103
104,103,104,101
104,104,105,103
103,104,105,103
104,103,104,101
103,104,104,102
103,103,103,102
102,103,103,101
104,102,104,100
101,104,104,100
100,101,102,99
101,100,102,100
101,101,101,100
100,101,103,99
99,100,101,98
99,99,100,98
100,99,100,98
98,100,100,98
98,98,100,97
98,98,100,98
98,98,99,97
99,98,100,98
99,99,99,99
98,99,99,98
97,98,98,97
97,97,98,97
97,97,99,97
97,97,98,97
97,97,97,96
99,97,100,97
101,99,101,99
102,101,103,100
103,102,104,100
108,103,111,103
106,108,108,104
106,106,106,102
105,106,106,103
103,105,107,103
104,103,104,103
103,104,103,103
101,103,102,101
101,101,103,100
103,101,103,100
104,103,108,104
101,104,104,101
101,101,102,101
106,101,108,101
103,106,106,103
103,103,105,103
105,103,105,103
104,105,105,102
104,105,105,102
103,104,106,102
103,103,103,101
102,103,104,102
102,102,102,102
102,102,103,102
101,102,102,100
100,101,102,100
101,100,101,100
101,101,101,100
100,101,101,99
100,100,100,100
100,100,105,100
104,100,110,101
103,104,105,103
113,103,113,102
114,113,114,105
106,114,112,106
108,106,108,106
108,108,108,106
106,108,108,104
102,106,107,102
104,102,106,102
109,104,110,103
106,109,111,106
107,106,110,107
105,107,108,105
107,105,107,105
108,107,108,104
110,108,112,108
121,110,121,111
114,121,125,111
112,114,114,110
109,112,114,109
112,109,115,107
114,112,116,113
113,114,120,111
111,113,111,108
109,111,111,108
109,109,110,108
110,109,114,108
108,110,112,108
107,108,110,107
108,107,109,106
106,108,108,106
104,106,110,104
111,104,111,104
107,111,110,107
107,107,108,105
108,107,108,106
108,108,108,105
106,108,108,106
108,106,108,106
107,108,107,105
108,107,108,106
104,108,106,102
109,104,109,99
106,109,107,104
106,106,110,104
106,106,107,105
106,106,108,105
105,106,106,103
105,105,107,104
106,105,106,105
105,106,106,104
105,105,107,105
106,105,108,106
111,106,111,111
108,111,109,105
110,108,110,108
106,110,108,104
109,106,111,105
107,109,108,106
108,107,108,106
104,108,106,104
103,104,106,103
104,103,105,103
106,104,106,103
104,106,106,104
107,104,107,104
105,107,106,105
104,105,106,104
105,104,105,103
105,105,108,104
104,105,105,104
104,104,104,103
104,104,105,103
106,104,106,102
103,106,104,102
103,103,105,103
101,103,104,101
102,101,104,101
102,102,102,102
101,102,101,101
103,101,103,101
101,103,103,101
100,101,101,100
101,100,102,100
101,101,101,100
100,101,101,100
100,100,100,98
100,100,100,99
101,100,102,98
101,101,102,99
99,101,100,99
99,99,100,99
98,99,99,98
103,99,104,96
96,103,108,96
94,96,97,94
95,94,95,94
99,95,102,96
102,99,102,98
98,102,102,98
96,98,98,96
96,96,97,96
97,96,97,96
96,97,97,96
95,96,96,95
96,95,96,95
94,96,95,94
97,94,97,95
98,97,98,97
94,98,98,94
94,94,95,94
97,94,97,94
98,97,98,98
96,98,98,96
96,96,97,95
93,96,95,93
94,93,95,94
95,94,96,93
96,95,96,95
104,96,104,96
99,104,102,98
98,99,98,98
95,98,97,94
97,95,97,96
94,97,96,94
94,94,95,94
93,94,94,93
100,93,100,93
96,100,106,93
95,96,96,94
95,95,98,94
95,95,95,94
98,95,98,94
94,98,100,94
95,94,97,95
94,95,96,94
96,94,97,91
